Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age,design,protection,installation,power_system,excel,job_simp,seniority,desc_len
"EAM Regional Operations Eng., InfraOps Availability",$58K - $87K (Glassdoor est.),"3+ years managing a CMMS system in a critical environment.
Ability to follow accurate and complete support procedures, system documentation, and issue tracking entries.
Technical Degree or equivalent professional experience in Engineering, Facilities Management, Analytics, Project Management, Computer Science or Information Technology.
Electrical, Mechanical, Systems & Facilities Engineering knowledge.
Ability to travel up to 20% of time to other Regions to support EAM Rollouts across the globe.

Job summary The EAM Team is looking for an Enterprise Asset Management (EAM) Regional Operations Engineer to support our data centers with asset management, maintenance tracking, maintenance scheduling and EAM system training. If you would like to deploy a Computerized Maintenance Management System (CMMS) to support our data center infrastructure, implement preventative maintenance programs, and innovate new solutions for Mechanical/Electrical/Plumbing (MEP) systems then we'd like to meet you. As a gatekeeper for mission critical data your work will ensure our customer teams have the accurate data they need to improve Data Center availability through standardized and optimized maintenance management (a broad range of responsibilities, asset validation on site, identifying assets, working with end users to train and improve the system, understanding an optimizing work flows, a chance to work with SQL Server database query, BI reporting, software administration). Key job responsibilities As an EAM Regional Operations Engineer you will be required to deploy, maintain, and enhance EAM for the data centers which you are in charge of. These responsibilities include the following activities: • Ensuring asset data in EAM is accurate by physically validating the assets at the data center • Working with the operations team to schedule maintenance for all new equipment • Conducting monthly new hire training along with any other training as necessary • Acting as the EAM point of contact for the data centers for which you are responsible • Reporting performance analytics to operations managers • Requesting EAM updates and design changes to provide customer teams with the data they need • Supporting new site deployment of EAM A day in the life • Partnering with the operations team on maintenance and project • EAM Point of Contact for Data Centers • Reporting on performance analytics • Supporting new site deployment",3.8,"Amazon Data Services, Inc.
3.8","Boardman, OR",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,0,58,87,72.5,"Amazon Data Services, Inc.",OR,26,1,0,0,0,0,na,na,2436
MTS Software Development Eng.,$123K - $179K (Glassdoor est.),"What you do at AMD changes everything
At AMD, we push the boundaries of what is possible. We believe in changing the world for the better by driving innovation in high-performance computing, graphics, and visualization technologies – building blocks for gaming, immersive platforms, and the data center.
Developing great technology takes more than talent: it takes amazing people who understand collaboration, respect, and who will go the “extra mile” to achieve unthinkable results. It takes people who have the passion and desire to disrupt the status quo, push boundaries, deliver innovation, and change the world. If you have this type of passion, we invite you to take a look at the opportunities available to come join our team.",4.2,"Advanced Micro Devices, Inc.
4.2","San Jose, CA",5001 to 10000 Employees,1969,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD),0,0,123,179,151.0,"Advanced Micro Devices, Inc.",CA,51,0,0,0,0,0,na,na,734
FACILITIES ENG TECHNICIAN,$53K - $72K (Glassdoor est.),"Responsibilities

Operate and maintain HVAC, electrical, controls and plumbing systems R&D center physical plant that supports R&D pilot plant, laboratory and office space in a safe, effective and efficient manner. Perform repairs as needed in a timely manner. Follow all safety and environmental procedures at all times. Provide building system support for project work and construction projects as needed. Provide support for lab and pilot plant staffs as necessary. Available 24/7 to respond to the site for emergencies.

Principle Accountabilities
Operates building and site systems in a safe, efficient and effective manner.

Performs building tours to confirm systems operation and maintains records in computerized system.",3.9,"PepsiCo
3.9","Valhalla, NY",10000+ Employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),0,0,53,72,62.5,PepsiCo,NY,55,0,0,0,0,0,na,na,729
FACILITIES ENG TECHNICIAN,$53K - $72K (Glassdoor est.),"Responsibilities

Operate and maintain HVAC, electrical, controls and plumbing systems R&D center physical plant that supports R&D pilot plant, laboratory and office space in a safe, effective and efficient manner. Perform repairs as needed in a timely manner. Follow all safety and environmental procedures at all times. Provide building system support for project work and construction projects as needed. Provide support for lab and pilot plant staffs as necessary. Available 24/7 to respond to the site for emergencies.

Principle Accountabilities
Operates building and site systems in a safe, efficient and effective manner.

Performs building tours to confirm systems operation and maintains records in computerized system.",3.9,"PepsiCo
3.9","Valhalla, NY",10000+ Employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),0,0,53,72,62.5,PepsiCo,NY,55,0,0,0,0,0,na,na,729
Student Support Aide - Electrical and Computer Eng,$27K - $40K (Glassdoor est.),"Tuscaloosa, Alabama, United States
Engineering
Engineering/Computer Science
Student
Temporary Part-time (No benefits)
Closing at: Jul 24 2022 at 22:55 CDT

Pay Grade/Pay Range: Non Classified - Grade NA
Department/Organization: 214251 - Electrical and Computer Eng",4.2,"The University of Alabama
4.2","Tuscaloosa, AL",1001 to 5000 Employees,-1,College / University,-1,-1,$500 million to $1 billion (USD),0,0,27,40,33.5,The University of Alabama,AL,-1,0,0,0,0,0,na,na,264
"Component Electrical Eng Co-op - Spring/Summer 2023 (Mason, OH)",$40K - $64K (Glassdoor est.),"Description:
Job Title: Component Electrical Engineer Co-op – Spring/Summer 2023 (Mason, OH)
Job Location: Mason, Ohio
Job Description:
Program team member to address and resolve critical issues.
Creation and implementation of Parts Management Plans (PMP).
Review bill of materials against program requirements to assess risk.
Provide support to subcontractors for all PMP concerns",3.6,"L3Harris Technologies
3.6","Mason, OH",10000+ Employees,2019,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,0,40,64,52.0,L3Harris Technologies,OH,1,0,0,0,0,0,na,na,381
Electrical Engineer,Employer Provided Salary:$83K - $89K,"Posting Information
Department
FS-Eng-Facilities Engineering-247200

Career Area
Engineering and Architecture

Is this an internal only recruitment?
No

Posting Open Date
08/18/2022",4.0,"University of North Carolina at Chapel Hill
4.0","Chapel Hill, NC",1 to 50 Employees,-1,College / University,Colleges & Universities,Education,$1 to $5 million (USD),0,1,83,89,86.0,University of North Carolina at Chapel Hill,NC,-1,0,0,0,0,0,electrical engineer,na,181
Electrical Engineer PE,$79K - $112K (Glassdoor est.),"ENG (ENG) is a 36 year old publicly listed (NASDAQ:ENG) EPF contractor (Engineering, Procurement, Fabrication) focused on innovative delivery of, cost-effective solutions.
ENGs expertise reaches three main market verticals: Oil & Gas, Energy & Renewables, Government, Automation & Integration. Services include EPF/ C(m) (Engineering, Procurement, Fabrication and Construction (Management)) projects with a large portion of self-perform work.
The Electrical Engineer’s primary function of responsibility is the development of electrical systems and projects from inception through construction and start-up in the Midstream Oil and Gas Industries. This position in particular will need to have experience in utility/power distribution.",2.8,"Englobal Master
2.8","Houston, TX",201 to 500 Employees,1985,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,0,0,79,112,95.5,Englobal Master,TX,35,0,1,0,0,0,electrical engineer,na,735
Sr Eng I-Electrical Engineer NS&E,Employer Provided Salary:$80 - $100 Per Hour,"Responsibilities:
This position is for an Electrical Engineer who will provide Defense Critical Infrastructure (DCI) technical support associated with a US Navy program. The successful candidate must have strong organizational and teamwork skills, proven problem-solving abilities, can-do attitude, and the desire to innovate designs. This role will support areas of On-site Assessment, Analysis and Characterization, Exercise and Contingency Support, Tools and Data Management, and Situational Awareness. Work with Electrical engineers and other technical disciplines in a team environment.
Analysis on a single asset to an analysis of an infrastructure network. The predominant focus will be on:
Telecommunications",-1.0,"InnoTech Construction, Inc.","Tullahoma, TN",51 to 200 Employees,2014,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,1,1,160,200,90.0,"InnoTech Construction, Inc.",TN,6,1,0,0,0,0,electrical engineer,senior,716
Electrical/Cont Eng -14,$63K - $92K (Glassdoor est.),"Inspired to grow with your experience, learn and share with new colleagues?

Huhtamaki is a key global provider of sustainable packaging solutions for consumers around the world, enabling wellbeing and convenience. Our innovative products protect on-the-go and on-the-shelf food and beverages, ensuring hygiene and safety, and help prevent food waste.
We are committed to protecting food, people and the planet and are on the lookout for passionate and consummate professionals to join our growing team to help us deliver on our ambitious 2030 Strategy. We look for colleagues who Care, Dare and Deliver.
Join us to shape the future together!",3.5,"Huhtamaki Group
3.5","Hammond, IN",10000+ Employees,-1,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),0,0,63,92,77.5,Huhtamaki Group,IN,-1,0,0,0,0,0,na,na,642
Jr. Business Analysts,$69K - $105K (Glassdoor est.),"Entry Level Business Analysts:
Entry-Level Business Analysts sought by FL based IT co. with Bachelors/Masters of Business Administration/Comp Sc/Comp Eng/Info Systems/Technology mgmt./Electrical Eng etc orManagement to optimize and implement business strategies and improvements using data driven decision making;
Translate business requests into technical flows and database specifications using MS Excel and SQLServer based databases; examine portfolio level data and model; process modeling tools and techniques;
Develop basic SQL Queries and analyze data,
Documentation of client requirements, solution design, and other information to support the implementation of products,",-1.0,Wisefolks Technologies,"Dallas, TX",Unknown,-1,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,69,105,87.0,Wisefolks Technologies,TX,-1,1,0,0,0,1,na,jr,679
Quality/Reliability Eng II,$54K - $74K (Glassdoor est.),"Quality/Reliability Eng II
Job Description:
Come be DISRUPTIVE with us! At Milwaukee Tool, our most valued resource is our dedicated team of employees - employees who work with a passion to be the best and an unparalleled pride in their work and in the Milwaukee brand. We know that the only way to sustain growth and success is to value the growth and success of each person within the organization that's why we invest in an individual's growth and development from day one.
All our teams touch every step of the process, that is why our Engineering teams are some of the key contributors to our continuous innovations. The fast-paced, agile environment continuously delivers disruptive technologies by providing every team with the resources needed to excel and working directly with End Users to understand how to deliver heavy duty products with high performance. We create Best in Class products by leveraging advanced analysis tools, extensive testing regimes, state-of-the-art manufacturing processes and cross-functional agility.",4.4,"Milwaukee Electric Tool Corporation
4.4","Brookfield, WI",10000+ Employees,1924,Company - Public,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,0,0,54,74,64.0,Milwaukee Electric Tool Corporation,WI,96,0,0,0,0,1,na,na,1038
Electrical & Computer Engineering Assoc./Full Professor,$38K - $61K (Glassdoor est.),"Tuscaloosa, Alabama, United States
Engineering
Tenure/Tenure-Track Faculty
Regular Full-time (Benefits eligible)
Closing at: May 31 2023 at 22:55 CDT

Department/Organization
214251 - Electrical and Computer Engineering
Rank
Associate/Full Professor",4.2,"The University of Alabama
4.2","Tuscaloosa, AL",1001 to 5000 Employees,-1,College / University,-1,-1,$500 million to $1 billion (USD),0,0,38,61,49.5,The University of Alabama,AL,-1,0,0,0,0,0,na,na,249
MECHANICAL ENG. CO-OP - FALL 2023 (VALDOSTA MILL),$39K - $58K (Glassdoor est.),"As a Fortune 500 company, Packaging Corporation of America (PCA) is an ideas and solutions company. Our corrugated packaging business seeks to be the leader in helping our customers — large and small — package, transport and display products of all kinds. Our white paper business delivers Paper With Purpose by providing the highest level of customer service and operational excellence. We have approximately 15,000 team members in more than 100 locations in the United States that strive to meet the local needs of our customers. Our mission is to serve the needs of our customers, today and tomorrow, with products and services that exceed expectations for performance and environmental responsibility.

People • Customers • Trust
We are seeking resumes for Engineering Co-ops (Multiple Openings for Fall 2023) at our Valdosta, GA. Paper Mill.",3.7,"Packaging Corporation of America
3.7","Valdosta, GA",10000+ Employees,1955,Company - Public,Wood & Paper Manufacturing,Manufacturing,$5 to $10 billion (USD),0,0,39,58,48.5,Packaging Corporation of America,GA,65,0,0,0,0,1,na,na,846
Faculty Part-time - Electrical & Computer Engineering,$65K - $95K (Glassdoor est.),"Job no: 510556
Position type: Faculty Part Time/Adjunct
Benefit Status: Non-Benefited - Union
Campus: UMass Lowell
Department: Electrical & Computer Eng
Salary: Salary commensurate with experience
Applications Open: Oct 13 2021
Applications Close:
General Summary of Position:
Adjunct faculty will be responsible for complete delivery of courses in the ECE department including course construction in blackboard, course delivery, student assessments (tests), grading exams and homework, and giving student grades.",4.2,"University of Massachusetts Lowell
4.2","Lowell, MA",1001 to 5000 Employees,-1,College / University,Colleges & Universities,Education,Less than $1 million (USD),0,0,65,95,80.0,University of Massachusetts Lowell,MA,-1,0,0,0,0,0,na,na,513
Electrical Des Engineer II (Cabin - Seating ENG),$41K - $63K (Glassdoor est.),"Job Summary: Development of electrical engineering design data within budget in accordance with FAA, customer and HAECO Cabin Solutions standards of quality.

Essential Job Duties:
1. Provide technical support and guidance to engineering personnel of various disciplines for engineering programs in which HAECO Cabin Solutions is involved. Assist and guide engineers in accomplishing designs.
2. Conduct detailed audits and surveys on site at customer facilities to develop aircraft design concepts and specifications through the interpretation of preliminary specifications and customer interface.
3. Research and review engineering data (drawings, reports, manuals, etc.) defining aircraft electrical / avionics systems in support of design work.
4. Support various design review meetings with customers.
5. Provide support during installation of modifications at remote locations.
6. Must be able to work on complex design tasks with limited assistance.
7. Check the design data produced by less experienced Design Engineers.
8. Assist with development of less experienced Design Engineers by acting as a mentor/resource.
9. Support, in a professional manner, customers, major manufacturers, vendors, FAA, or other outside agencies to promote and support HAECO Cabin Solutions technical & commercial interests.
10. Interface with the Substantiation group and ODA representatives to ensure that all designs meet the established FAA regulatory criteria.
11. Convert limited modification specification information into engineering design data for proper installation of aircraft electrical modifications and generation of cable/wire harness detail and assembly designs.
12. Develop preliminary engineering analysis necessary to substantiate aircraft electrical modifications.
13. Interface with other departments to ensure customer & HAECO Cabin Solutions requirements are met.
14. Provide technical support to HAECO Cabin Solutions Manufacturing during the manufacturing and installation phases of HAECO Cabin Solutions developed designs.
15. Provide input and suggestions for continuous improvement of various department procedures, controls, flows and systems, and become familiar with HAECO Cabin Solutions internal policies and procedures.


Perform other duties as assigned


Accountable to the Engineering Manager


Minimum
1. BS Degree in Engineering or related scientific field, or equivalent combination of experience and coursework.
2. Three (3) years industry experience in engineering field, preferably dealing in the design of modifications to transport category aircraft.
3. Minimum two (2) years experience utilizing AutoCAD (or comparable CAD program) with demonstrable proficiency.
4. Must possess some knowledge of FAA regulations, certification processes and related requirements.
5. Must possess knowledge of standard aircraft components, materials, fabrication practices, aviation hardware and proper application in design.
6. Must possess knowledge of engineering principles used in electrical design.
7. Must possess knowledge of personal computer systems with Microsoft Office.
8. Must have knowledge of the use and application of aircraft technical data such as engineering drawings, AMM’s, SB’s, IPC’s, WD’s, etc.
9. Must possess good oral, written, and organizational skills, and be able to read, write, speak and understand the English language.

Preferred
1. Masters Degree in Engineering.


1. Must possess ability to maneuver around airplanes (i.e. climbing stairs, on work stands, etc.) and in confined areas (i.e. cargo compartments, E/E bays, etc.).
2. Must also be able to lift and carry 15 lbs.
3. Must be able to sit and work effectively at a computer for extended periods of time.
4. Visual acuity must be minimum of 20/40 corrected.
5. Position may require travel both domestically and internationally.",3.1,"HAECO Americas
3.1","Greensboro, NC",1001 to 5000 Employees,1990,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,41,63,52.0,HAECO Americas,NC,30,1,0,1,0,0,na,na,3842
LEAD FACILITIES SYSTEMS ENG,$120K - $180K (Glassdoor est.),"If you're ready to be part of our legacy of hope and innovation, we encourage you to take the first step and explore our current job openings. Your best is waiting to be discovered.

Day - 08 Hour (United States of America)
This is a Stanford Health Care job.
**This position is on-site located in Menlo Park**

A Brief Overview
Recognized as the technical subject matter expert in engineering and has substantial understanding of techniques, processes and procedures to perform the job and seeks to complete tasks in creative and effective ways. Works on activities of diverse scope requiring minimal interpretation of policies and guidelines to ensure the reliability and maintainability of new and modified equipment, processes, utilities, facilities controls and safety/security systems.


Stanford Health Care",4.0,"Stanford Health Care
4.0","Palo Alto, CA",10000+ Employees,1957,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),0,0,120,180,150.0,Stanford Health Care,CA,63,0,0,0,0,0,na,senior,814
Process Eng,$70K - $104K (Glassdoor est.),"At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.

Process Eng",4.2,"Bayer
4.2","Muscatine, IA",10000+ Employees,1863,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),0,0,70,104,87.0,Bayer,IA,157,0,0,0,0,0,na,na,591
CONVEYOR MECHANIC - BLDGS AND SYSTEMS ENG.,$69K - $107K (Glassdoor est.),"UPS is currently hiring Building and Systems Engineering (BaSE) Mechanics. This position is responsible for maintenance activities that are performed to keep a UPS package handling facility operating efficiently and effectively. The work is fast-paced and requires routine interaction with other hub employees. Ideal candidates must be available to work 1st, 2nd, or 3rd shift, in a 24 x 7 operation. He/She requires strong electrical background and must pass electrical assessment.
Responsibilities and Duties
Troubleshooting, adjusting, and replacing AC and DC electrical equipment such as batteries, control stations, fuses, motor starters, relays, switches, timers, servo driven equipment, photo electrical devices, transducers, Variable Frequency Drives (VFD’s) and encoders

UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",3.5,"UNITED PARCEL SERVICE
3.5","South San Francisco, CA",10000+ Employees,1907,Company - Public,Taxi & Car Services,Transportation & Logistics,$10+ billion (USD),0,0,69,107,88.0,UNITED PARCEL SERVICE,CA,113,0,0,0,0,0,na,na,1003
ELECTRICAL ENG I,$57K - $82K (Glassdoor est.),"Provide consultation, analysis, evaluation and review of problems regarding automation, advanced methods and equipment. Assists in the development of new products or processes and systems. Contributes to research and development projects to meet future demands when necessary.
Assist with mechanical improvements through TPM, P.M., and Capital Expenditure Projects. Assist with the commissioning of new plant and equipment and other systems to ensure that this introduction into the production facility is handled efficiently and with minimum disruption.
System/Project design, costing and implementation from concept to completion to include capital improvement programs. Coordinate all project controls/electrical activities to ensure that project timing, quality, and cost targets are attained. Supervise and/or direct contractors, suppliers, or other technical people as required. Act at times as overall project manager on highly automated/high controls-content projects
Required
Preferred
Preferred
Preferred",3.8,"Pilkington North America Inc.
3.8","Versailles, KY",10000+ Employees,1894,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 billion (USD),0,0,57,82,69.5,Pilkington North America Inc.,KY,126,1,0,0,0,0,na,na,1014
Director Product Application Eng.,$132K - $187K (Glassdoor est.),"What you do at AMD changes everything
At AMD, we push the boundaries of what is possible. We believe in changing the world for the better by driving innovation in high-performance computing, graphics, and visualization technologies – building blocks for gaming, immersive platforms, and the data center.
Developing great technology takes more than talent: it takes amazing people who understand collaboration, respect, and who will go the “extra mile” to achieve unthinkable results. It takes people who have the passion and desire to disrupt the status quo, push boundaries, deliver innovation, and change the world. If you have this type of passion, we invite you to take a look at the opportunities available to come join our team.",4.2,"Advanced Micro Devices, Inc.
4.2","San Jose, CA",5001 to 10000 Employees,1969,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD),0,0,132,187,159.5,"Advanced Micro Devices, Inc.",CA,51,0,0,0,0,0,director,na,734
